"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"dnaA",9782.36597469198,-1.29783590689697,0.17829057615152,-7.27932981603026,3.35482584311908e-13,3.90208180877788e-12
"dnaN",8731.27133137932,-0.56548295630297,0.0982870029861145,-5.75338487412073,8.74740262865186e-09,5.32861417084161e-08
"rlbA",447.77882271498,-1.16834476306488,0.264183999832455,-4.42246602294552,9.75806984314036e-06,3.69476459370991e-05
"recF",7872.62564276231,-1.04186095269267,0.111667936786005,-9.3299919625921,1.05878936404348e-20,2.68082585916316e-19
"remB",1431.61495998957,-0.658930934101715,0.124632788203595,-5.2869790012666,1.24352908202672e-07,6.34029485384034e-07
"gyrB",29384.5241365557,-0.282081746941116,0.083799854953555,-3.36613645808165,0.000762289884395818,0.00205003103303558
"gyrA",52201.7844052359,0.199491863003632,0.0879749743868246,2.26759785261737,0.0233537286926957,0.0448748467703735
"pgaptmp_000013",31.2276679410508,0.463496764915404,0.684679632656045,0.676954217430689,0.498435002757102,0.600769132209175
"guaB",23517.8961019491,0.228023295559952,0.0945000331912384,2.4129440790619,0.0158242472370611,0.0319132456169583
"dacA",4913.94069163264,-1.27913350736076,0.172215731301427,-7.42750675385109,1.1066373427222e-13,1.37755992963614e-12
"pdxS",31921.1701216728,0.994429379205048,0.0924877666396799,10.7520098639554,5.79841638992397e-27,2.34583758731489e-25
"pdxT",32826.3258017097,0.987728815925839,0.106558519526091,9.26935565845574,1.87273800937481e-20,4.64688724726202e-19
"serS",12231.6126616258,-0.277806810638983,0.0839068909982284,-3.31089386502056,0.000929984741151338,0.00246895988042595
"pgaptmp_000019",5659.90820117554,0.750660228299904,0.11839470825903,6.34031908468048,2.2928977985014e-10,1.77425480374682e-09
"dck",2598.67009149201,0.838450372099629,0.119635723964223,7.00836125127951,2.41125574524511e-12,2.47236746110256e-11
"pgaptmp_000022",1933.21670811993,0.435568418620786,0.139031691288161,3.13287146682274,0.00173105228865386,0.00428674425706565
"pgaptmp_000023",967.19265278383,1.2557934748124,0.171758866481456,7.31137495570268,2.64422527305061e-13,3.11449571718176e-12
"pgaptmp_000024",1063.25058465849,1.16038119534848,0.160817849662104,7.21550000691201,5.37361578532689e-13,6.06078725848081e-12
"tadA",756.955884855243,-0.772736396865068,0.162478813162513,-4.75592098332335,1.97543731360881e-06,8.30799737994575e-06
"dnaX",9373.64369784099,-0.232632505689674,0.0827898733626788,-2.80991498405339,0.00495545880575846,0.0111445424018326
"pgaptmp_000028",1152.32021152304,0.206303906345273,0.150598510411748,1.36989340585921,0.17072017843567,0.254995523622135
"recR",3124.39732964058,-0.507585382837447,0.0959658619359682,-5.28922861315127,1.22833286143285e-07,6.28002048111686e-07
"pgaptmp_000030",396.394426364483,-0.928499133933393,0.187619310592083,-4.94884631546328,7.46546632283273e-07,3.39273084903339e-06
"pgaptmp_000031",333.960441845695,-1.07099531253815,0.266451047214971,-4.01948246678902,5.83261219359052e-05,0.000192760079691477
"pgaptmp_000037",7.857417763157,-3.37059720656075,1.70385838489788,-1.97821440821372,0.0479045239869719,0.0855980020544932
"pgaptmp_000038",1841.68037660004,0.9301050384787,0.128683488501786,7.22785066916952,4.90697848864945e-13,5.55129906831405e-12
"pgaptmp_000039",4025.04455348105,1.21602170898753,0.124056265268636,9.80217892546021,1.10182764049786e-22,3.15461729071772e-21
"pgaptmp_000040",3526.82645099253,0.286161540884001,0.0954740498209777,2.99727037263611,0.00272408995670597,0.00649939924285874
"tmk",908.895285035716,0.3130161025544,0.144872712702041,2.1606284352401,0.0307240530701499,0.0574359244234544
"darA",4128.89245621747,0.709821101353539,0.0907668678245677,7.82026656164302,5.27115965499038e-15,7.60436288212178e-14
"pgaptmp_000043",7001.50894222187,0.922390143568009,0.117905683725172,7.82311856753255,5.15305268752555e-15,7.4629035420117e-14
"holB",13493.7662439959,0.524492912629318,0.0979049236591732,5.35716584035328,8.45375198805786e-08,4.44418995756375e-07
"ricT",12489.8060123723,0.357186815355045,0.0846709554055683,4.21852822664093,2.45902190698989e-05,8.67533605480225e-05
"yabA",2342.88678578777,0.832694924023953,0.136643360088224,6.09392892187606,1.10172593391246e-09,7.63109392481509e-09
"pgaptmp_000047",1301.56031295847,0.414192657618475,0.121704270236858,3.40327136272526,0.000665841143864187,0.00182225054225184
"pgaptmp_000048",163.540014615358,0.598086300354919,0.290728134843192,2.05720131172549,0.0396668654309004,0.0722523167225755
"rsmI",1534.85715655181,0.254315545788583,0.14162960861996,1.79563827272161,0.0725520648372487,0.123136701014245
"abrB",8470.29262496307,1.18535963321476,0.110052525096386,10.7708535735695,4.72599216083362e-27,1.93298272776074e-25
"metG",14429.1872867105,0.335628164338575,0.0942084187075505,3.56261328810177,0.000367181370657588,0.00105777791144547
"pgaptmp_000052",2828.45898818181,0.393084809178794,0.112481399071477,3.49466500615808,0.000474657105033328,0.00133838920070761
"pgaptmp_000053",2499.07775050097,-1.17230401102968,0.182750473478633,-6.4147796102249,1.41026728398871e-10,1.12882039376473e-09
"rnmV",1251.44093907198,-0.493037935006109,0.149283517073403,-3.30269506420915,0.000957604594480497,0.00252601296999037
"rsmA",3538.02754098847,-0.264213116021097,0.090545081350529,-2.91802836863378,0.0035225230113269,0.00821480617052551
"yabG",110.661681776839,-0.107036627839119,0.379018293005587,-0.282404912412872,0.777633048674813,0.841625532761749
"veg",23326.8742270284,0.0945560045969152,0.155301890799228,0.608852887175441,0.542621954535147,0.642378789688237
"pgaptmp_000058",908.72232231094,-1.02474406253524,0.147577932179799,-6.94374861742041,3.81829706904812e-12,3.8203499169347e-11
"ispE",4734.75035027474,-0.690572127133749,0.108489435835019,-6.36533983072699,1.94857821133268e-10,1.53656951325852e-09
"purR",6901.37551385302,-0.659233841943161,0.10367060523141,-6.35892730125033,2.03167526661785e-10,1.59870937470436e-09
"ridA",3964.7465002905,-0.744809056910984,0.137353752944192,-5.42256065776087,5.87512681090929e-08,3.15089654037527e-07
"spoVG",9522.94298830462,-0.223454291686788,0.154039168799558,-1.45063293594862,0.146882098963255,0.223963610135697
"glmU",13610.4992248091,-0.584510192634376,0.113030342097068,-5.17126801343671,2.32510800680432e-07,1.14019130452249e-06
"pgaptmp_000064",12563.3678283361,-0.299698108423382,0.082026655724322,-3.65366728384756,0.000258521223890699,0.0007673173806389
"pgaptmp_000065",11377.9122648737,0.431174009855129,0.119852206484606,3.59754753376619,0.000321231803231203,0.00093627625029486
"pth",2689.94036443364,-0.286291539440542,0.111202362024162,-2.5745095178674,0.0100382324621422,0.0211684426198829
"pgaptmp_000067",655.073717446209,0.00661614954869875,0.192211020954853,0.0344212809225583,0.972541213803346,0.983674603353458
"mfd",13053.4711687428,-0.0367872441300148,0.0786542805021422,-0.467708100502081,0.639993347458386,0.724910298003686
"spoVT",2179.84713892144,-0.349746849628515,0.109574268445389,-3.19187026836347,0.00141354806144827,0.0035596927501424
"pgaptmp_000070",3547.63372331936,-0.80753550269756,0.107166815863248,-7.53531301823902,4.87164794911622e-14,6.31786538906292e-13
"mazG",7200.60183951244,-0.729209253781504,0.14082043053148,-5.17829160889045,2.23927020442567e-07,1.10245551598841e-06
"pgaptmp_000072",4583.35516171923,-0.367252793640833,0.118444796374139,-3.10062412941103,0.00193113253335176,0.00473808522685251
"yabP",5809.19008556521,-0.400482275193401,0.123850651257235,-3.23359038590447,0.00122244646936396,0.00313141483755861
"yabQ",9118.90121184593,-0.637363833745065,0.10199598258385,-6.24891115903602,4.13323921157618e-10,3.08294916743217e-09
"divIC",6186.25339354869,-0.0284462841386787,0.101507900142687,-0.28023714507632,0.779295570243605,0.843179683850785
"pgaptmp_000076",6191.98912103475,0.177856767264985,0.0854540307675252,2.08131513127612,0.0374050710682253,0.0686159066120919
"spoIIE",470.556793743167,-0.562927919796885,0.187346376457902,-3.00474410255476,0.00265804375431108,0.00636221148137995
"pgaptmp_000080",145.596840837574,-0.377448030202151,0.356867737696482,-1.05766924362093,0.290206261893649,0.393639834828048
"pgaptmp_000081",63.9467056015261,-1.18379212228991,0.497016898037826,-2.38179451637038,0.0172285079662056,0.0343095273676924
"tilS",9829.93551434495,-0.865868209055928,0.131946686766401,-6.56225806252238,5.29989887262727e-11,4.46294651672369e-10
"hpt",7158.08246730559,-1.18295219638922,0.137496334797044,-8.60351803657426,7.73090979215465e-18,1.52902224783327e-16
"ftsH",116013.560849282,-0.329356401058519,0.0700165980498217,-4.70397606042155,2.55143177971784e-06,1.06224038972145e-05
"pgaptmp_000085",2813.14581726443,0.0112118638358963,0.0998170991897043,0.112324080011461,0.910566449530365,0.94325864880379
"hslO",7572.70795193576,0.517265222229277,0.101321642725763,5.10517998241805,3.30479819459744e-07,1.5851259214197e-06
"pgaptmp_000087",1603.71186320215,-0.313944129896266,0.138076967294091,-2.27368934912652,0.0229846710097118,0.0442799924938651
"cysK",18456.4125668394,-0.101627057446923,0.081089631654295,-1.2532682091859,0.210108113935042,0.303462320553444
"pabB",1742.50960630737,0.21784285152819,0.108856560348764,2.00119175941484,0.045371728685386,0.0816208671662671
"pabA",6153.52588213272,0.00423716839798848,0.0951205943128298,0.0445452262845773,0.964469802371882,0.979202565310459
"pabC",4494.32262287864,0.0176620407760405,0.108322239704158,0.163050919407481,0.870478343179278,0.911370012183761
"folP",5048.02457487795,0.023122112796808,0.0901788861703883,0.256402732155285,0.797639878403722,0.857791282120385
"folB",2844.74788853148,-0.0549456468824861,0.106974379583725,-0.513633704596363,0.607508110359797,0.697884316900977
"folK",4187.13591389711,-0.181156789288031,0.0852189982802214,-2.12577937952688,0.0335216337634505,0.0620733934664492
"pgaptmp_000095",1150.90912270185,-0.729802837575519,0.1401994691375,-5.20546077717147,1.93515820236724e-07,9.66799842847096e-07
"dusB",8432.87004464453,-1.00427510214326,0.125799323460994,-7.98315185259839,1.42643243780368e-15,2.25922618447034e-14
"lysS",18423.0631527803,-0.65597103771314,0.115096564514398,-5.69931031808586,1.20293084215192e-08,7.16369375118311e-08
"ctsR",1101.9561253641,1.45646667013934,0.156045741856411,9.33358804163678,1.02346232441403e-20,2.60912792566371e-19
"pgaptmp_000114",1728.04378795329,1.36880029762553,0.128172713067861,10.6793424658244,1.27169189091673e-26,4.87962599792998e-25
"pgaptmp_000115",5662.78190121855,0.970727634342392,0.120205333419801,8.075578734533,6.71573572870721e-16,1.09631440273019e-14
"clpC",53105.2132694272,0.72429311586236,0.0879485462102764,8.23541885650555,1.78930492187294e-16,3.08323746259773e-15
