"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"dnaA",9782.36597469198,-1.45776975719666,0.178469788435178,-8.16815983241969,3.13128889750161e-16,8.58222185309351e-16
"dnaN",8731.27133137932,-0.254538752670311,0.0983127212604745,-2.58907239477101,0.00962348602785704,0.0136347982473102
"rlbA",447.77882271498,-1.59718319335436,0.268215109828706,-5.95485912174893,2.60295953000009e-09,5.5140668017418e-09
"recF",7872.62564276231,-2.75919436466148,0.113684465944785,-24.2706366409073,4.00447122948027e-130,5.93810434905401e-129
"remB",1431.61495998957,-1.62248904999052,0.128866015725784,-12.5905114769983,2.38125368117917e-36,1.11201179621279e-35
"gyrB",29384.5241365557,0.215384688213405,0.0837780047274489,2.5708978020437,0.0101435255606911,0.0143334100747503
"gyrA",52201.7844052359,-0.264375833723631,0.0880469363946297,-3.00266930968147,0.00267623062068292,0.00400519918382864
"pgaptmp_000013",31.2276679410508,-1.49630789315487,0.74338383048199,-2.01283352125739,0.0441321461352386,0.0584060860327784
"guaB",23517.8961019491,0.676529491585761,0.0944860565392113,7.16009871049073,8.0618989041914e-13,1.95992081785764e-12
"dacA",4913.94069163264,0.836581360829384,0.1711486531728,4.88803940504709,1.01845148396499e-06,1.8830980741767e-06
"pdxS",31921.1701216728,0.742738498948421,0.0925570527395438,8.02465589562896,1.01810921916842e-15,2.74594385053976e-15
"pdxT",32826.3258017097,0.781165249047839,0.10661246206468,7.32714763283411,2.35102792261888e-13,5.85319460066051e-13
"serS",12231.6126616258,1.22200916601996,0.0834639369801257,14.6411637197386,1.53419652258369e-48,8.9925660741047e-48
"pgaptmp_000019",5659.90820117554,1.575912299629,0.118166891519268,13.3363269471469,1.42299944996281e-40,7.28528741782886e-40
"dck",2598.67009149201,-0.0877654807540196,0.12122087261093,-0.72401294318109,0.46905778894214,0.524274201334128
"pgaptmp_000022",1933.21670811993,-1.66552417749598,0.144390920897804,-11.5348262005669,8.80648487831857e-31,3.63792860345191e-30
"pgaptmp_000023",967.19265278383,-0.750052428008632,0.178515474079056,-4.20161015104198,2.65023240080999e-05,4.4980232539055e-05
"pgaptmp_000024",1063.25058465849,-1.25816149951146,0.169819268211221,-7.40882652931093,1.27421846980307e-13,3.20665391792225e-13
"tadA",756.955884855243,-4.0823666468333,0.201869802503055,-20.222770301524,6.17181592466159e-91,6.34571792032885e-90
"dnaX",9373.64369784099,-1.0579679463866,0.0835300409125244,-12.6657180438179,9.15785509614943e-37,4.30917024878233e-36
"pgaptmp_000028",1152.32021152304,-0.0534688622619167,0.151976521994331,-0.351823173476172,0.724970878367753,0.764186238823216
"recR",3124.39732964058,-0.520327884850992,0.096522005967806,-5.39076948964926,7.01566195137314e-08,1.38526757469553e-07
"pgaptmp_000030",396.394426364483,-0.947304910371058,0.190221312962834,-4.98001457153303,6.35794859318667e-07,1.18856276563741e-06
"pgaptmp_000031",333.960441845695,-1.69181070886999,0.27315474261335,-6.1935981513041,5.88060401098801e-10,1.27997708356125e-09
"pgaptmp_000037",7.857417763157,-6.57575805773021,2.12335238336473,-3.09687553947597,0.00195571967100667,0.00295781739759725
"pgaptmp_000038",1841.68037660004,-1.19070031495225,0.134169634591328,-8.87458863981441,7.01923647069484e-19,2.0900478515141e-18
